"",".ID.","camadasConvolucionais","maxpooling1","batchNormalization1","camadasDensas","dropout","learningIndex","batchIndex","numEpocas","maxpooling2","maxpooling3","maxpooling4","maxpooling5","maxpooling6","maxpooling7","maxpooling8","batchNormalization2","batchNormalization3","batchNormalization4","batchNormalization5","batchNormalization6","batchNormalization7","batchNormalization8","numFiltrosInd2","numFiltrosInd3","numFiltrosInd4","numFiltrosInd5","numFiltrosInd6","numFiltrosInd7","numFiltrosInd8","tamanhoFiltros2","tamanhoFiltros3","tamanhoFiltros4","tamanhoFiltros5","tamanhoFiltros6","tamanhoFiltros7","tamanhoFiltros8","neuroniosDensos1","neuroniosDensos2",".PARENT."
"1",1,2,1,1,2,0.24,5,5,187,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,68,NA,NA
"2",2,1,0,1,2,0.29,2,8,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA
"3",3,2,1,1,1,0.05,3,10,119,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,2,1,1,1,0.47,3,8,141,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,1,1,0,1,0.17,2,6,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,2,1,1,2,0.24,3,8,253,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,8,NA,NA
"7",7,4,1,0,3,0.18,1,8,113,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,5,5,8,NA,NA,NA,NA,9,9,7,NA,NA,NA,NA,24,126,NA
"8",8,3,1,1,1,0.26,4,5,295,1,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,11,3,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,1,0,1,1,0.25,5,10,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,4,1,1,1,0.21,0,6,141,0,0,1,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,8,8,7,NA,NA,NA,NA,7,3,3,NA,NA,NA,NA,NA,NA,NA
