"",".ID.","camadasConvolucionais","maxpooling1","batchNormalization1","camadasDensas","dropout","learningIndex","batchIndex","numEpocas","maxpooling2","maxpooling3","maxpooling4","maxpooling5","maxpooling6","maxpooling7","maxpooling8","batchNormalization2","batchNormalization3","batchNormalization4","batchNormalization5","batchNormalization6","batchNormalization7","batchNormalization8","numFiltrosInd2","numFiltrosInd3","numFiltrosInd4","numFiltrosInd5","numFiltrosInd6","numFiltrosInd7","numFiltrosInd8","tamanhoFiltros2","tamanhoFiltros3","tamanhoFiltros4","tamanhoFiltros5","tamanhoFiltros6","tamanhoFiltros7","tamanhoFiltros8","neuroniosDensos1","neuroniosDensos2",".PARENT."
"1",1,1,1,0,1,0.38,4,7,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,1,1,1,1,0.19,0,9,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,1,0,0,3,0.04,2,4,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,78,NA
"4",4,1,0,0,2,0.21,0,6,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA
"5",5,4,0,0,1,0.14,3,4,120,1,0,1,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,8,5,7,NA,NA,NA,NA,9,5,11,NA,NA,NA,NA,NA,NA,NA
"6",6,1,0,1,2,0.46,2,6,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA
"7",7,1,0,0,1,0.3,0,5,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,1,1,1,2,0.33,4,7,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
"9",9,3,0,1,2,0.12,1,7,226,1,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,26,NA,NA
"10",10,6,0,1,2,0.47,2,10,117,1,1,1,0,0,NA,NA,0,0,0,1,1,NA,NA,6,8,8,5,7,NA,NA,3,11,5,7,3,NA,NA,122,NA,NA
"11",11,1,1,0,3,0.08,1,4,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,84,NA
"12",12,1,0,1,2,0.07,5,9,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA
"13",13,1,1,0,1,0.12,0,4,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,1,1,0,1,0.01,2,8,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,2,0,0,3,0.01,2,7,178,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,50,72,NA
"16",16,3,1,1,1,0.35,3,5,31,1,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,11,7,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,3,0,0,2,0.28,4,5,115,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,5,11,NA,NA,NA,NA,NA,100,NA,NA
"18",18,1,1,0,1,0.15,0,6,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,1,0,1,1,0.05,4,6,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,4,1,0,2,0.07,2,6,101,1,0,0,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,7,7,5,NA,NA,NA,NA,11,7,9,NA,NA,NA,NA,66,NA,5
"21",21,1,0,1,2,0.1,5,4,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,16
"22",22,2,1,1,1,0.24,2,7,161,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,16
"23",23,4,1,0,2,0.32,1,4,59,1,0,1,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,8,5,7,NA,NA,NA,NA,11,3,5,NA,NA,NA,NA,58,NA,16
"24",24,2,0,0,2,0.11,1,10,233,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,124,NA,5
"25",25,2,1,1,1,0.19,4,6,158,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,16
"26",26,1,1,1,2,0.37,2,5,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,8
"27",27,2,1,0,2,0.48,3,8,213,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,58,NA,8
"28",28,1,0,1,2,0.43,3,6,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,5
"29",29,1,0,0,1,0.38,0,8,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"30",30,2,1,1,2,0.21,0,6,53,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,118,NA,16
"31",31,5,0,0,2,0.29,3,8,219,1,0,0,0,NA,NA,NA,1,0,1,1,NA,NA,NA,5,6,8,5,NA,NA,NA,5,5,5,5,NA,NA,NA,94,NA,8
"32",32,1,1,1,2,0.16,4,4,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,8
"33",33,1,1,0,3,0.22,1,6,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,90,16
"34",34,3,1,0,1,0.14,0,7,121,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,8,5,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,5
"35",35,1,0,0,1,0.27,5,8,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"36",36,2,0,0,1,0.46,5,9,73,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,31
